venue_name,suburb,style_tags,capacity_seated,capacity_cocktail,price_per_head,min_spend,venue_hire,fees_notes,rating,reviews_count,photos_official,photos_real_weddings,photos_maps,source,notes
Centennial Vineyards Restaurant,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/SouthernHighlands/CentennialVineyardsRestaurant/,,,easyweddings_SouthernHighlands,
Fitzroy Inn Southern Highlands,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/SouthernHighlands/FitzroyInnBoutiqueHotel/,,,easyweddings_SouthernHighlands,
Growwild Wildflower Farm,,,60-120 guests,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/SouthernHighlands/GrowwildWildflowerFarm/,,,easyweddings_SouthernHighlands,
Kalinya Estate,,,0-38 guests,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/SouthernHighlands/KalinyaEstate/,,,easyweddings_SouthernHighlands,
Kangaroo Valley Bush Retreat,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/SouthernHighlands/KangarooValleyBushRetreat/,,,easyweddings_SouthernHighlands,
Oaks Lake Crackenback Resort,,,Up to 90 guests,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/SouthernHighlands/LakeCrackenbackResortSpa/,,,easyweddings_SouthernHighlands,
Mali Brae Farm,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/SouthernHighlands/MaliBraeFarm/,,,easyweddings_SouthernHighlands,
Peppers Manor House,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/SouthernHighlands/PeppersManorHouse/,,,easyweddings_SouthernHighlands,
Robertson Public House Rustic Weddings,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/SouthernHighlands/RobertsonPublicHouseRusticWeddings/,,,easyweddings_SouthernHighlands,
Sylvan Glen Estate,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/SouthernHighlands/SylvanGlenCountryHouse/,,,easyweddings_SouthernHighlands,
The Coach House at The Rift Estate,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/SouthernHighlands/TheCoachHouseAtTheRiftEstate/,,,easyweddings_SouthernHighlands,
The Venue by Graze at Fitzroy Falls,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/SouthernHighlands/TheVenuebyGrazeatFitzroyFalls/,,,easyweddings_SouthernHighlands,
Events by Dee at Isca House,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/SouthernHighlands/WeddingsbyDeeatIscaHouse/,,,easyweddings_SouthernHighlands,
Wildwood @ Kangaroo Valley,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/SouthernHighlands/WildwoodatKangarooValley/,,,easyweddings_SouthernHighlands,
Albion Farm Gardens,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/HunterValley/AlbionFarmGardens/,,,easyweddings_HunterValley,
Apollo Weddings,,,40 - 100 guests,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/HunterValley/ApolloInternational/,,,easyweddings_HunterValley,
B Farm,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/HunterValley/BFarm/,,,easyweddings_HunterValley,
Ben Ean,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/HunterValley/BenEanEstate/,,,easyweddings_HunterValley,
Chateau Elan at The Vintage,,,Up to 100 guests,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/HunterValley/ChateauElanAtTheVintageNSW/,,,easyweddings_HunterValley,
Rydges Resort Hunter Valley,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/HunterValley/CrownePlazaHunterValley/,,,easyweddings_HunterValley,
Oaks Cypress Lakes Resort,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/HunterValley/CypressLakesResort/,,,easyweddings_HunterValley,
Dalwood Estate,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/HunterValley/DalwoodEstate/,,,easyweddings_HunterValley,
Eaglereach Weddings & Events,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/HunterValley/EaglereachWeddingsAndEvents/,,,easyweddings_HunterValley,
Estate Tuscany,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/HunterValley/EstateTuscany/,,,easyweddings_HunterValley,
Harrigan's Hunter Valley,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/HunterValley/HarrigansHunterValley/,,,easyweddings_HunterValley,
Hunter Valley Gardens,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/HunterValley/HunterValleyGardens/,,,easyweddings_HunterValley,
Hunter’s Dream Estate,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/HunterValley/HuntersDreamEstate/,,,easyweddings_HunterValley,
Kalimna Estate,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/HunterValley/KalimnaEventsPtyLtd/,,,easyweddings_HunterValley,
Kilnhaus at Hunter Valley Brewhouse,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/HunterValley/KilnhausatHunterValleyBrewhouse/,,,easyweddings_HunterValley,
voco Kirkton Park Hunter Valley,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/HunterValley/KirktonParkHunterValley/,,,easyweddings_HunterValley,
Mercure Resort Hunter Valley Gardens,,,15-40 guests,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/HunterValley/MercureResortHunterValleyGardens/,,,easyweddings_HunterValley,
Mt View Estate Winery,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/HunterValley/MtViewEstateWinery/,,,easyweddings_HunterValley,
Mystwood,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/HunterValley/MystwoodWollombi/,,,easyweddings_HunterValley,
Peppers Creek Barrel Room & Chapel,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/HunterValley/PeppersCreek/,,,easyweddings_HunterValley,
RidgeView,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/HunterValley/RidgeView/,,,easyweddings_HunterValley,
Spicers Guesthouse,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/HunterValley/SpicersGuesthouse/,,,easyweddings_HunterValley,
St Joseph's Guest House,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/HunterValley/StJosephsGuestHouse/,,,easyweddings_HunterValley,
Stanley Park,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/HunterValley/StanleyPark/,,,easyweddings_HunterValley,
Gunyah Hotel - The Lake View Room,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/HunterValley/TheGunyahHotel/,,,easyweddings_HunterValley,
The Moorings Lakehouse,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/HunterValley/TheMooringsLakehouse/,,,easyweddings_HunterValley,
The Retreat Port Stephens,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/HunterValley/TheRetreatPortStephens/,,,easyweddings_HunterValley,
The Woodhouse Wollombi,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/HunterValley/TheWoodhouseWollombi/,,,easyweddings_HunterValley,
Tocal Homestead,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/HunterValley/TocalHomestead/,,,easyweddings_HunterValley,
Tuckers Lane Boutique Accommodation,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/HunterValley/TuckersLaneBoutiqueAccommodation/,,,easyweddings_HunterValley,
