venue_name,suburb,style_tags,capacity_seated,capacity_cocktail,price_per_head,min_spend,venue_hire,fees_notes,rating,reviews_count,photos_official,photo_cover,photo_gallery,photos_real_weddings,photos_maps,source,notes
Centennial Parklands,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/Sydney/CentennialParklands/,https://prod-ew-image-global-v2.s3.amazonaws.com/Live/ImageUploader/centennial-parklands-supplierlogo-photo-c0900e73-2bfa-4b1d-9faf-e37beb7166bb.jpg,https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/beach.png|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/garden.jpg|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/luxury.png|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/rustic.jpg|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/warehouse.jpg|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/waterview.png,,,easyweddings,
Centennial Vineyards Restaurant,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/SouthernHighlands/CentennialVineyardsRestaurant/,https://prod-ew-image-global-v2.s3.amazonaws.com/release/ImageUploader/Centennial-Vineyards-Restaurant-20728-L-1-1813150846.PNG,https://prod-ew-image-global-v2.s3.amazonaws.com/release/ImageUploader/Centennial-Vineyards-Restaurant-20728-L-1-1813150846.PNG|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/beach.png|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/garden.jpg|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/luxury.png|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/rustic.jpg|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/warehouse.jpg,,,easyweddings_SouthernHighlands,
Chateau Elan at The Vintage,,,Up to 100 guests,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/HunterValley/ChateauElanAtTheVintageNSW/,https://prod-ew-image-global-v2.s3.amazonaws.com/Live/ImageUploader/chateau-elan-at-the-vintage-supplierlogo-photo-8739ffaf-dccd-42ae-8df0-d1e8eeab8f84.jpg,https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/beach.png|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/garden.jpg|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/luxury.png|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/rustic.jpg|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/warehouse.jpg|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/waterview.png,,,easyweddings_HunterValley,
Citizen Kanebridge Lodge Berrima,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/SouthernHighlands/BerrimaVaultHouse/,https://prod-ew-image-global-v2.s3.amazonaws.com/Live/ImageUploader/-supplierlogo-photo-59036286-0b96-4215-b224-93855ed4aed0.jpg,https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/beach.png|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/garden.jpg|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/luxury.png|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/rustic.jpg|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/warehouse.jpg|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/waterview.png,,,easyweddings_SouthernHighlands,
Clifton Woolshed,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/BlueMountains/CliftonWoolshed/,https://prod-ew-image-global-v2.s3.amazonaws.com/Live/ImageUploader/clifton-woolshed-supplierlogo-photo-d20ebc5f-5ab3-4bab-8895-820fbe3a2f3d.jpg,https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/beach.png|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/garden.jpg|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/luxury.png|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/rustic.jpg|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/warehouse.jpg|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/waterview.png,,,easyweddings_BlueMountains,
Coogee Bay Hotel,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/Sydney/CoogeeBayHotel/,https://prod-ew-image-global-v2.s3.amazonaws.com/Live/ImageUploader/coogee-bay-hotel-supplierlogo-photo-1475d2f0-85a9-4096-b7b6-c3b387a44937.jpg,https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/beach.png|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/garden.jpg|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/luxury.png|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/rustic.jpg|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/warehouse.jpg|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/waterview.png,,,easyweddings,
Cropley House,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/Sydney/CropleyHouse/,https://prod-ew-image-global-v2.s3.amazonaws.com/Live/ImageUploader/f78caead-a638-4227-b0d5-0dc729c5e4be-23ba38cc-bd05-4676-b89c-7de333374fe1.jpg,https://prod-ew-image-global-v2.s3.amazonaws.com/Live/ImageUploader/f78caead-a638-4227-b0d5-0dc729c5e4be-23ba38cc-bd05-4676-b89c-7de333374fe1.jpg|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/beach.png|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/garden.jpg|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/luxury.png|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/rustic.jpg|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/warehouse.jpg,,,easyweddings,
Crown Towers,Barangaroo,luxury_hotel|harbour,15-320,,From $200,,,Luxury pricing; confirm min spend,5.0,3,,,,,,https://www.easyweddings.com.au/WeddingVenues/Sydney/ ,From EasyWeddings listing
Crowne Plaza Hawkesbury Valley,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/Sydney/CrownePlazaHawkesburyValley/,https://prod-ew-image-global-v2.s3.amazonaws.com/Live/ImageUploader/crowne-plaza-hawkesbury-valley-supplierlogo-photo-0908a2bd-e45b-4633-af31-7d60aaaba37c.jpg,https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/beach.png|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/garden.jpg|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/luxury.png|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/rustic.jpg|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/warehouse.jpg|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/waterview.png,,,easyweddings,
Crowne Plaza Terrigal Pacific,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/CentralCoast/CrownePlazaTerrigalPacific/,https://prod-ew-image-global-v2.s3.amazonaws.com/Live/ImageUploader/crowne-plaza-terrigal-pacific-supplierlogo-photo-375473a6-dc54-45f6-9df9-42ac6ae615a2.jpg,https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/beach.png|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/garden.jpg|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/luxury.png|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/rustic.jpg|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/warehouse.jpg|https://v6-cdn.easyweddings.com/webcommon/assets/images/au-sub-categories/waterview.png,,,easyweddings_CentralCoast,
