venue_name,suburb,style_tags,capacity_seated,capacity_cocktail,price_per_head,min_spend,venue_hire,fees_notes,rating,reviews_count,photos_official,photos_real_weddings,photos_maps,source,notes
The Brighton Hotel Sydney - MGallery Collection,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/Sydney/TheBrightonHotelSydney/,,,easyweddings,
The Calyx at the Royal Botanic Garden Sydney,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/Sydney/TheCalyx/,,,easyweddings,
The Jackson,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/Sydney/TheJackson/,,,easyweddings,
The Lemnos Wedding Venue,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/Sydney/TheLemnosWeddingVenue/,,,easyweddings,
The Mint,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/Sydney/TheMintNSW/,,,easyweddings,
The Nuns Pool Cronulla,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/Sydney/TheNunsPoolCronulla/,,,easyweddings,
The Old Clare Hotel,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/Sydney/TheOldClareHotel/,,,easyweddings,
Burnt Orange - Mosman,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/Sydney/TheSignalsRoomBurntOrange/,,,easyweddings,
The Tea Room QVB,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/Sydney/TheTeaRoomQVB/,,,easyweddings,
The Wharf Restaurant and Bar,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/Sydney/TheWharfRestaurantandBar/,,,easyweddings,
The William Inglis Hotel at Riverside Stables,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/Sydney/TheWilliamInglisHotelatRiversideStables/,,,easyweddings,
Three Blue Ducks Rosebery,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/Sydney/ThreeBlueDucksByron/,,,easyweddings,
Toki Bistro & Bar,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/Sydney/TokiBistroAndBar/,,,easyweddings,
12-Micron,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/Sydney/WatermansRoomat12Micron/,,,easyweddings,
Watersedge at Campbell's Stores,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/Sydney/WatersedgeAtCampbellsStores/,,,easyweddings,
Waterview in Bicentennial Park,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/Sydney/WaterviewinBicentennialPark/,,,easyweddings,
"Zest Waterfront Venues - Boathouse at The Spit, Mosman",,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/Sydney/ZestWaterfrontVenues/,,,easyweddings,
barmilano | Events Venue,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/Sydney/barmilano/,,,easyweddings,
Melba's Rooftop,,,,,,,,,,,https://www.easyweddings.com.au/WeddingVenues/Sydney/melbas/,,,easyweddings,
